Year,Sex,Race,Ideology,Political,Prestige,Sprestige,Mprestige,Dprestige,Socpos,Happymar,Happy,Opinion of family income
2000,Female,White,Liberal,Strong republican,53,45,45,36,3,Very happy,Not too happy,Average
2000,Male,White,Moderate,Strong democrat,49,31,0,45,5,Very happy,Pretty happy,Average
2000,Male,White,Moderate,"Ind,near rep",60,28,40,63,5,Very happy,Very happy,Average
2000,Male,Black,Moderate,Strong democrat,31,35,0,0,5,Pretty happy,Pretty happy,Average
2000,Female,Other,Moderate,Not str democrat,41,64,42,0,5,Pretty happy,Pretty happy,Average
2000,Female,White,Slghtly conservative,"Ind,near rep",50,49,0,35,5,Pretty happy,Very happy,Average
2000,Male,White,Liberal,Not str democrat,44,44,0,49,10,Not too happy,Not too happy,Far below average
2000,Male,White,Extremely liberal,Independent,35,35,0,0,1,Very happy,Very happy,Far below average
2000,Male,White,Slightly liberal,"Ind,near dem",53,18,0,0,3,Pretty happy,Very happy,Below average
2000,Male,White,Liberal,"Ind,near dem",51,73,0,74,3,Very happy,Pretty happy,Below average
2000,Male,White,Moderate,Not str republican,48,36,0,28,5,Pretty happy,Pretty happy,Average
2000,Female,White,Moderate,Strong republican,38,48,31,35,10,Not too happy,Very happy,Average
2000,Male,White,Moderate,Not str republican,39,39,0,72,9,Very happy,Very happy,Far above average
2000,Female,White,Slghtly conservative,"Ind,near dem",61,45,0,56,7,Very happy,Pretty happy,Above average
2000,Female,Black,Liberal,Strong democrat,56,24,30,72,5,Very happy,Pretty happy,Average
2000,Female,White,Moderate,Independent,24,43,0,59,5,Very happy,Very happy,Average
2000,Female,White,Moderate,"Ind,near dem",25,25,0,0,5,Pretty happy,Pretty happy,Average
2000,Male,White,Slightly liberal,"Ind,near dem",27,48,0,59,5,Very happy,Pretty happy,Average
2000,Male,White,Moderate,Not str democrat,0,47,0,27,5,Very happy,Very happy,Average
2000,Male,White,Conservative,Not str republican,53,53,0,35,5,Very happy,Pretty happy,Average
2000,Female,White,Moderate,Not str democrat,72,49,69,52,6,Very happy,Very happy,Average
2000,Male,White,Conservative,Strong republican,38,60,0,45,7,Very happy,Pretty happy,Above average
2000,Male,White,Extremely liberal,Strong republican,46,24,49,35,5,Very happy,Pretty happy,Average
2000,Female,White,Slightly liberal,"Ind,near rep",64,50,32,0,5,Very happy,Very happy,Above average
2000,Female,White,Conservative,Other party,65,39,0,60,3,Pretty happy,Pretty happy,Far above average
2000,Female,White,Slghtly conservative,Not str democrat,38,35,0,40,5,Pretty happy,Pretty happy,Average
2000,Male,White,Conservative,Strong republican,74,25,0,46,5,Very happy,Very happy,Average
2000,Female,White,Conservative,Strong republican,35,53,0,28,5,Very happy,Very happy,Average
2000,Male,White,Moderate,Strong republican,28,0,49,49,5,Pretty happy,Not too happy,Average
2000,Female,Other,Moderate,Independent,60,65,0,66,7,Very happy,Very happy,Above average
2000,Male,White,Slightly liberal,Independent,69,75,55,74,7,Very happy,Pretty happy,Above average
2000,Male,White,Slightly liberal,Not str democrat,49,65,0,65,7,Very happy,Very happy,Above average
2000,Male,White,Slghtly conservative,Strong democrat,65,38,38,59,5,Very happy,Very happy,Average
2000,Female,Black,Moderate,Not str democrat,63,59,32,0,5,Pretty happy,Pretty happy,Above average
2000,Male,White,Moderate,Not str democrat,50,47,53,45,7,Very happy,Very happy,Above average
2000,Male,White,Liberal,Not str democrat,74,74,52,60,7,Pretty happy,Pretty happy,Above average
2000,Female,White,Liberal,Not str republican,35,45,0,46,3,Very happy,Very happy,Below average
2000,Female,White,Slghtly conservative,"Ind,near rep",39,72,47,43,7,Pretty happy,Pretty happy,Above average
2000,Female,White,Slghtly conservative,Not str republican,47,72,64,48,4,Pretty happy,Pretty happy,Above average
2000,Female,White,Slghtly conservative,Not str democrat,46,50,31,73,7,Very happy,Pretty happy,Above average
2000,Female,White,Moderate,Not str republican,60,49,61,46,7,Very happy,Very happy,Above average
2000,Male,White,Moderate,Not str democrat,59,17,31,0,7,Pretty happy,Very happy,Average
2000,Female,White,Conservative,Strong republican,39,63,0,39,9,Very happy,Pretty happy,Far above average
2000,Female,White,Liberal,Not str democrat,36,60,28,56,7,Very happy,Pretty happy,Above average
2000,Male,Other,Moderate,Not str republican,39,28,39,0,5,Very happy,Pretty happy,Above average
2000,Female,White,Slghtly conservative,Not str democrat,46,32,0,24,5,Very happy,Very happy,Average
2000,Male,White,Slghtly conservative,"Ind,near dem",39,39,33,44,5,Very happy,Pretty happy,Average
2000,Female,White,Moderate,Not str republican,31,50,40,48,5,Pretty happy,Pretty happy,Above average
2000,Male,Other,Slightly liberal,Not str democrat,39,36,0,49,5,Pretty happy,Pretty happy,Average
2000,Male,White,Moderate,Not str democrat,52,38,35,35,6,Very happy,Very happy,Below average
2000,Male,White,Slightly liberal,"Ind,near dem",33,50,0,39,3,Very happy,Pretty happy,Below average
2000,Male,Other,Moderate,Strong republican,43,35,0,0,5,Pretty happy,Not too happy,Average
2000,Female,White,Slightly liberal,Strong democrat,39,48,46,0,3,Very happy,Very happy,Above average
2000,Female,White,Moderate,Independent,38,72,33,35,7,Very happy,Pretty happy,Above average
2000,Female,White,Conservative,Not str republican,64,53,0,52,3,Very happy,Very happy,Above average
2000,Female,White,Conservative,Strong republican,38,72,64,45,9,Pretty happy,Not too happy,Far above average
2000,Male,White,Extrmly conservative,Not str republican,35,0,27,46,6,Very happy,Very happy,Average
2000,Male,White,Moderate,"Ind,near dem",49,31,26,37,6,Pretty happy,Pretty happy,Above average
2000,Male,Other,Moderate,Not str democrat,21,33,0,41,5,Very happy,Very happy,Average
2000,Male,Other,Moderate,Not str democrat,24,61,0,36,3,Pretty happy,Very happy,Below average
2000,Female,White,Moderate,"Ind,near rep",46,39,47,31,5,Pretty happy,Pretty happy,Average
2000,Female,White,Slightly liberal,Strong democrat,61,61,40,25,5,Very happy,Pretty happy,Average
2000,Female,White,Conservative,Strong republican,61,31,47,44,3,Very happy,Very happy,Below average
2000,Female,White,Moderate,Not str republican,53,39,34,34,3,Very happy,Pretty happy,Below average
2000,Male,White,Moderate,Not str republican,49,0,25,40,5,Very happy,Very happy,Above average
2000,Female,White,Conservative,Strong republican,47,52,25,0,5,Pretty happy,Very happy,Average
2000,Male,White,Moderate,Strong republican,45,46,0,50,3,Pretty happy,Pretty happy,Below average
2000,Male,White,Conservative,Independent,49,64,0,73,5,Very happy,Pretty happy,Average
2000,Female,Black,Slightly liberal,Other party,0,16,0,0,10,Very happy,Very happy,Below average
2000,Male,Black,Moderate,Other party,60,47,46,35,7,Pretty happy,Pretty happy,Above average
2000,Male,Black,Slightly liberal,Independent,37,31,25,34,9,Very happy,Pretty happy,Below average
2000,Male,Black,Extremely liberal,Not str democrat,25,36,25,25,1,Very happy,Pretty happy,Far below average
2000,Male,White,Conservative,Strong republican,39,25,0,0,5,Very happy,Pretty happy,Average
2000,Female,White,Moderate,Not str republican,32,35,25,69,5,Pretty happy,Pretty happy,Above average
2000,Male,White,Conservative,"Ind,near rep",58,25,31,0,7,Very happy,Pretty happy,Above average
2000,Female,White,Slightly liberal,Not str democrat,47,39,0,58,5,Pretty happy,Pretty happy,Average
2000,Male,White,Extremely liberal,Other party,74,54,51,64,5,Pretty happy,Pretty happy,Above average
2000,Female,White,Conservative,Not str republican,48,51,0,52,7,Very happy,Very happy,Above average
2000,Female,White,Conservative,Not str republican,58,48,38,50,9,Very happy,Pretty happy,Far above average
2000,Female,White,Slghtly conservative,"Ind,near rep",35,58,74,72,3,Very happy,Very happy,Far above average
2000,Female,White,Liberal,"Ind,near dem",65,59,0,45,7,Very happy,Very happy,Above average
2000,Male,Black,Moderate,Not str democrat,50,38,21,44,5,Very happy,Pretty happy,Average
2000,Male,White,Liberal,Strong democrat,39,69,64,63,9,Very happy,Very happy,Far above average
2000,Female,White,Extrmly conservative,"Ind,near dem",55,73,64,34,7,Pretty happy,Pretty happy,Above average
2000,Male,White,Moderate,Independent,69,60,0,53,10,Pretty happy,Very happy,Far above average
2000,Male,White,Conservative,Strong republican,65,53,51,43,5,Very happy,Pretty happy,Above average
2000,Male,White,Conservative,Strong republican,56,64,0,0,3,Very happy,Pretty happy,Above average
2000,Female,White,Slightly liberal,Independent,61,51,53,60,5,Very happy,Very happy,Average
2000,Male,White,Conservative,Strong republican,60,65,45,72,3,Very happy,Very happy,Far above average
2000,Male,White,Moderate,Independent,42,53,45,38,6,Pretty happy,Pretty happy,Average
2000,Male,White,Moderate,Not str democrat,60,61,39,45,5,Pretty happy,Pretty happy,Average
2000,Female,White,Conservative,Strong republican,64,31,0,47,5,Very happy,Very happy,Average
2000,Male,White,Moderate,Independent,31,48,38,31,5,Pretty happy,Pretty happy,Average
2000,Male,White,Slghtly conservative,"Ind,near rep",40,46,0,74,3,Very happy,Very happy,Above average
2000,Male,White,Extremely liberal,Other party,64,47,0,45,7,Very happy,Very happy,Above average
2000,Male,White,Conservative,"Ind,near rep",39,61,0,40,5,Pretty happy,Pretty happy,Average
2000,Male,White,Slightly liberal,Independent,38,61,0,46,9,Pretty happy,Very happy,Far above average
2000,Male,White,Conservative,Independent,39,25,0,46,3,Not too happy,Very happy,Below average
2000,Female,White,Slightly liberal,Independent,39,39,22,0,4,Pretty happy,Pretty happy,Average
2000,Male,White,Extrmly conservative,Strong republican,64,61,61,33,7,Very happy,Very happy,Above average
2000,Female,White,Moderate,"Ind,near rep",47,35,35,34,5,Very happy,Very happy,Average
2000,Female,White,Conservative,"Ind,near rep",44,72,0,52,5,Pretty happy,Pretty happy,Above average
2000,Male,Other,Conservative,"Ind,near dem",39,35,42,26,5,Very happy,Pretty happy,Average
2000,Female,White,Moderate,"Ind,near rep",31,71,0,48,5,Very happy,Very happy,Above average
2000,Female,Other,Conservative,Not str democrat,34,35,27,25,4,Very happy,Pretty happy,Above average
2000,Male,White,Moderate,Not str republican,60,48,28,35,5,Very happy,Very happy,Above average
2000,Female,White,Slghtly conservative,Not str republican,64,60,54,35,7,Pretty happy,Pretty happy,Above average
2000,Female,White,Liberal,Independent,64,50,0,46,6,Very happy,Pretty happy,Above average
2000,Male,White,Moderate,"Ind,near dem",50,60,27,66,3,Very happy,Very happy,Far above average
2000,Female,White,Liberal,Strong democrat,54,64,59,54,9,Very happy,Pretty happy,Far above average
2000,Male,White,Moderate,Independent,48,58,0,50,1,Very happy,Pretty happy,Far below average
2000,Male,Black,Extremely liberal,Not str democrat,24,38,0,28,5,Pretty happy,Pretty happy,Average
2000,Female,White,Conservative,Not str republican,51,47,32,28,4,Pretty happy,Pretty happy,Below average
2000,Male,White,Slghtly conservative,Strong democrat,38,32,42,53,8,Pretty happy,Pretty happy,Below average
2000,Male,Black,Moderate,Independent,24,48,0,56,5,Very happy,Very happy,Average
2000,Male,Other,Moderate,"Ind,near dem",60,64,0,61,1,Very happy,Very happy,Far below average
2000,Female,White,Moderate,Not str republican,47,50,47,55,5,Very happy,Very happy,Above average
2000,Female,White,Conservative,Strong republican,38,43,0,44,5,Very happy,Pretty happy,Average
2000,Female,Other,Slightly liberal,Not str democrat,64,0,0,50,4,Not too happy,Very happy,Average
2000,Female,White,Liberal,Independent,38,51,53,65,3,Very happy,Very happy,Average
2000,Female,Other,Slghtly conservative,Not str republican,40,50,0,39,5,Pretty happy,Pretty happy,Average
2000,Female,White,Moderate,Not str democrat,71,67,55,0,7,Very happy,Pretty happy,Above average
2000,Male,White,Liberal,"Ind,near rep",67,0,0,31,5,Pretty happy,Pretty happy,Average
2000,Female,White,Slightly liberal,Strong democrat,51,51,0,65,5,Very happy,Very happy,Below average
2000,Female,White,Moderate,Not str republican,38,41,42,0,7,Pretty happy,Very happy,Above average
2000,Female,White,Liberal,Strong democrat,63,25,0,45,7,Very happy,Pretty happy,Above average
2000,Female,White,Slightly liberal,Independent,41,47,64,49,7,Very happy,Pretty happy,Above average
2000,Female,White,Moderate,Independent,48,43,0,43,3,Very happy,Pretty happy,Below average
2000,Male,Other,Liberal,Not str republican,63,46,60,61,7,Very happy,Pretty happy,Above average
2000,Female,Other,Moderate,Not str democrat,31,38,47,28,5,Pretty happy,Pretty happy,Average
2000,Female,White,Conservative,Strong republican,46,58,64,39,5,Very happy,Very happy,Average
2000,Male,White,Extremely liberal,Not str democrat,35,25,47,35,4,Very happy,Pretty happy,Average
2000,Female,White,Moderate,Not str democrat,48,59,24,45,7,Pretty happy,Pretty happy,Above average
2000,Female,White,Liberal,"Ind,near dem",64,47,64,80,3,Very happy,Very happy,Above average
2000,Female,White,Slightly liberal,Not str democrat,31,39,47,58,7,Very happy,Very happy,Above average
2000,Female,White,Liberal,Not str republican,47,56,47,44,4,Very happy,Pretty happy,Above average
2000,Female,White,Slghtly conservative,Strong republican,39,50,36,75,5,Very happy,Pretty happy,Average
2000,Female,White,Liberal,Not str democrat,52,24,0,47,5,Not too happy,Not too happy,Average
2000,Male,White,Slghtly conservative,"Ind,near rep",58,40,0,73,3,Very happy,Very happy,Above average
2000,Female,White,Slghtly conservative,Not str republican,53,53,28,39,3,Pretty happy,Pretty happy,Below average
2000,Female,White,Moderate,Strong democrat,47,50,0,49,3,Very happy,Very happy,Above average
2000,Female,White,Slightly liberal,Not str democrat,49,47,0,61,7,Not too happy,Pretty happy,Above average
2000,Female,White,Slghtly conservative,Not str republican,28,72,42,25,5,Very happy,Very happy,Above average
2000,Male,White,Slghtly conservative,"Ind,near dem",31,25,0,27,5,Very happy,Pretty happy,Average
2000,Male,Other,Slightly liberal,Not str democrat,24,0,0,27,7,Very happy,Very happy,Below average
2000,Female,White,Slightly liberal,Independent,39,66,46,0,4,Very happy,Very happy,Average
2000,Male,White,Slghtly conservative,Strong republican,31,25,0,41,6,Very happy,Pretty happy,Below average
2000,Female,Black,Moderate,Not str republican,50,43,0,31,5,Very happy,Very happy,Average
2000,Female,White,Conservative,Independent,51,31,0,43,1,Pretty happy,Pretty happy,Far below average
2000,Female,White,Extremely liberal,Independent,33,28,27,29,7,Very happy,Very happy,Above average
2000,Male,White,Conservative,Not str republican,46,0,45,46,7,Very happy,Very happy,Above average
2000,Female,White,Slghtly conservative,Independent,31,44,0,0,4,Very happy,Pretty happy,Above average
2000,Male,White,Liberal,Not str republican,60,0,0,59,5,Very happy,Very happy,Average
2000,Female,Other,Moderate,"Ind,near dem",0,32,28,35,6,Pretty happy,Pretty happy,Below average
2000,Male,Other,Liberal,Independent,35,16,0,44,5,Pretty happy,Not too happy,Average
2000,Female,Other,Moderate,"Ind,near dem",0,44,24,0,10,Pretty happy,Pretty happy,Average
2000,Female,Black,Liberal,Strong democrat,48,40,65,25,4,Pretty happy,Not too happy,Average
2000,Male,Other,Conservative,Strong democrat,35,32,0,27,5,Very happy,Very happy,Average
2000,Female,White,Moderate,Other party,31,33,29,32,5,Very happy,Pretty happy,Below average
2000,Male,Other,Conservative,Not str republican,33,18,34,35,3,Pretty happy,Pretty happy,Below average
2000,Male,White,Liberal,Not str republican,35,63,31,29,5,Pretty happy,Not too happy,Average
2000,Male,Other,Moderate,Strong republican,44,55,0,0,3,Pretty happy,Pretty happy,Average
2000,Female,White,Conservative,Strong republican,59,60,0,53,7,Very happy,Very happy,Average
2000,Female,White,Conservative,Strong republican,44,45,47,67,5,Very happy,Very happy,Average
2000,Female,White,Slghtly conservative,Not str democrat,49,50,25,0,5,Pretty happy,Pretty happy,Average
2000,Male,Other,Conservative,Strong democrat,31,37,0,35,5,Pretty happy,Pretty happy,Average
2000,Female,White,Moderate,Strong democrat,53,69,0,38,5,Pretty happy,Pretty happy,Average
2000,Female,White,Extremely liberal,Strong democrat,64,49,0,53,3,Very happy,Not too happy,Below average
2000,Male,White,Extremely liberal,Strong democrat,46,45,0,50,5,Very happy,Pretty happy,Average
2000,Female,White,Extremely liberal,Not str democrat,74,54,0,47,7,Very happy,Very happy,Above average
2000,Male,Black,Liberal,"Ind,near dem",47,51,42,50,7,Very happy,Very happy,Above average
2000,Male,Black,Moderate,Independent,42,0,0,46,5,Very happy,Very happy,Average
2000,Female,Black,Slghtly conservative,Other party,48,0,25,0,5,Very happy,Very happy,Average
2000,Male,Other,Moderate,"Ind,near dem",21,0,0,60,3,Very happy,Very happy,Below average
2000,Female,Black,Liberal,"Ind,near dem",48,45,31,46,5,Very happy,Very happy,Average
2000,Male,White,Slghtly conservative,"Ind,near rep",39,46,31,0,7,Very happy,Very happy,Above average
2000,Female,White,Extrmly conservative,Independent,34,41,32,44,5,Very happy,Pretty happy,Average
2000,Female,Other,Conservative,Not str democrat,53,24,0,33,5,Very happy,Not too happy,Below average
2000,Male,White,Moderate,Strong democrat,25,48,32,35,5,Pretty happy,Pretty happy,Average
2000,Male,White,Moderate,Not str democrat,45,25,31,46,5,Very happy,Very happy,Average
2000,Female,White,Moderate,Independent,50,28,31,28,5,Very happy,Very happy,Average
2000,Male,White,Moderate,Not str democrat,60,32,61,59,5,Pretty happy,Very happy,Average
2000,Male,White,Moderate,Strong democrat,39,0,0,46,10,Pretty happy,Pretty happy,Above average
2000,Female,Other,Moderate,Independent,0,42,0,0,5,Pretty happy,Pretty happy,Average
2000,Female,White,Moderate,Independent,0,31,0,38,3,Pretty happy,Pretty happy,Below average
2000,Male,White,Conservative,Not str republican,24,52,0,50,3,Pretty happy,Pretty happy,Above average
2000,Female,White,Liberal,Not str democrat,35,35,45,28,5,Very happy,Very happy,Average
2000,Female,White,Moderate,Independent,35,38,0,38,8,Very happy,Very happy,Below average
2000,Female,White,Moderate,Not str democrat,0,41,45,26,6,Very happy,Very happy,Average
2000,Female,White,Moderate,Independent,47,29,0,0,3,Not too happy,Pretty happy,Below average
2000,Male,White,Conservative,Not str republican,31,39,25,0,9,Not too happy,Pretty happy,Far above average
2000,Female,White,Moderate,Not str democrat,48,46,69,32,5,Pretty happy,Pretty happy,Average
2000,Female,White,Moderate,Not str democrat,74,72,0,36,5,Pretty happy,Pretty happy,Average
2000,Male,White,Moderate,Strong republican,46,53,60,0,7,Very happy,Pretty happy,Above average
2000,Female,White,Liberal,"Ind,near dem",64,72,47,0,4,Very happy,Pretty happy,Above average
2000,Male,White,Conservative,Not str republican,72,35,48,0,10,Very happy,Very happy,Far above average
2000,Female,White,Moderate,Independent,51,31,40,50,5,Very happy,Pretty happy,Average
2000,Female,White,Conservative,Strong republican,40,60,47,0,5,Very happy,Pretty happy,Average
2000,Male,White,Moderate,Other party,69,70,29,70,3,Very happy,Pretty happy,Above average
2000,Female,Other,Liberal,Not str democrat,46,44,38,24,5,Pretty happy,Very happy,Average
2000,Female,Other,Moderate,Not str democrat,25,28,45,0,3,Very happy,Pretty happy,Below average
2000,Male,Other,Moderate,Independent,35,0,0,0,5,Very happy,Pretty happy,Average
2000,Male,White,Moderate,Not str republican,34,35,0,46,5,Very happy,Very happy,Average
2000,Female,Other,Slightly liberal,Strong democrat,35,30,0,60,5,Very happy,Very happy,Average
2000,Female,White,Moderate,Not str democrat,33,39,32,35,2,Very happy,Very happy,Above average
2000,Female,Black,Moderate,"Ind,near rep",35,39,48,35,7,Pretty happy,Pretty happy,Above average
2000,Male,Black,Slightly liberal,Strong democrat,48,0,0,46,5,Pretty happy,Pretty happy,Average
2000,Male,Other,Moderate,Not str democrat,46,0,21,0,5,Very happy,Very happy,Average
2000,Male,Other,Liberal,Independent,48,65,0,74,5,Very happy,Pretty happy,Average
2000,Male,White,Conservative,Strong republican,45,61,29,70,7,Very happy,Very happy,Above average
2000,Female,White,Moderate,Not str democrat,50,72,47,45,4,Pretty happy,Pretty happy,Average
2000,Male,White,Conservative,Other party,40,47,32,45,3,Very happy,Very happy,Above average
2000,Female,White,Moderate,Strong democrat,47,61,21,32,4,Very happy,Very happy,Above average
2000,Female,White,Slightly liberal,"Ind,near rep",32,73,38,50,4,Very happy,Pretty happy,Above average
2000,Male,White,Moderate,Not str republican,42,47,32,28,7,Pretty happy,Pretty happy,Above average
2000,Male,White,Moderate,Independent,35,32,47,42,5,Pretty happy,Pretty happy,Average
2000,Female,White,Moderate,Independent,39,24,60,0,5,Very happy,Very happy,Average
2000,Female,White,Slightly liberal,Independent,48,60,0,23,7,Very happy,Very happy,Average
2000,Male,White,Moderate,Other party,45,32,30,35,7,Very happy,Very happy,Above average
2000,Female,White,Liberal,Not str democrat,48,33,0,59,7,Very happy,Very happy,Above average
2000,Female,White,Moderate,Strong republican,33,46,0,45,5,Pretty happy,Pretty happy,Average
2000,Male,White,Moderate,Not str republican,63,35,0,0,5,Very happy,Pretty happy,Average
2000,Male,White,Moderate,Not str republican,41,58,0,60,5,Pretty happy,Pretty happy,Average
2000,Male,White,Moderate,Not str republican,45,39,32,45,5,Very happy,Pretty happy,Average
2000,Male,White,Slghtly conservative,Not str republican,64,60,47,37,5,Very happy,Very happy,Average
2000,Male,White,Moderate,Not str democrat,64,64,39,38,5,Very happy,Pretty happy,Average
2000,Male,White,Moderate,"Ind,near rep",69,0,0,69,5,Very happy,Very happy,Average
2000,Male,White,Slghtly conservative,Not str republican,40,64,47,45,5,Very happy,Very happy,Average
2000,Male,White,Slightly liberal,Independent,49,46,46,0,5,Very happy,Pretty happy,Above average
2000,Male,White,Slightly liberal,Not str democrat,51,51,61,64,4,Very happy,Pretty happy,Above average
2000,Male,Other,Slightly liberal,"Ind,near rep",61,48,0,46,5,Very happy,Very happy,Average
2000,Female,White,Moderate,"Ind,near rep",28,54,0,42,3,Pretty happy,Pretty happy,Average
2000,Female,Black,Moderate,"Ind,near dem",38,52,38,31,3,Not too happy,Not too happy,Below average
2000,Female,White,Slghtly conservative,Other party,38,34,72,0,8,Very happy,Pretty happy,Below average
2000,Female,White,Moderate,"Ind,near rep",32,28,0,50,3,Pretty happy,Very happy,Below average
2000,Male,White,Extremely liberal,Independent,28,38,0,56,6,Very happy,Pretty happy,Below average
2000,Male,Black,Moderate,Strong democrat,35,0,0,0,3,Very happy,Pretty happy,Below average
2000,Female,White,Extremely liberal,Strong democrat,32,25,0,37,5,Pretty happy,Very happy,Average
2000,Male,White,Moderate,Not str republican,31,48,46,44,3,Very happy,Very happy,Below average
2000,Female,White,Liberal,Not str republican,74,31,35,0,6,Pretty happy,Pretty happy,Below average
2000,Female,White,Slightly liberal,"Ind,near dem",64,36,64,58,4,Very happy,Very happy,Below average
2000,Female,White,Moderate,Not str republican,21,42,0,43,3,Very happy,Very happy,Below average
2000,Female,White,Moderate,"Ind,near rep",48,39,0,24,5,Pretty happy,Pretty happy,Average
2000,Female,White,Slightly liberal,Not str democrat,61,52,0,66,4,Very happy,Very happy,Above average
2000,Female,White,Moderate,Not str republican,45,49,32,40,5,Very happy,Very happy,Average
2000,Male,White,Moderate,"Ind,near rep",25,32,64,59,3,Pretty happy,Pretty happy,Average
2000,Female,White,Slightly liberal,"Ind,near dem",17,44,32,35,3,Pretty happy,Pretty happy,Above average
2000,Male,White,Conservative,Strong republican,66,38,39,53,5,Very happy,Very happy,Average
2000,Male,White,Conservative,Not str republican,45,31,0,0,3,Very happy,Very happy,Below average
2000,Female,White,Conservative,Strong republican,61,0,61,47,5,Very happy,Very happy,Average
2000,Female,White,Conservative,Not str democrat,61,60,0,46,5,Very happy,Very happy,Average
2000,Male,White,Moderate,Not str republican,50,40,33,0,5,Very happy,Very happy,Above average
2000,Female,White,Conservative,Not str republican,65,53,33,46,5,Very happy,Pretty happy,Above average
2000,Female,White,Moderate,Strong democrat,47,0,0,31,6,Very happy,Pretty happy,Below average
2000,Female,White,Moderate,Strong republican,45,0,48,50,5,Very happy,Pretty happy,Average
2000,Female,White,Liberal,Not str republican,47,65,0,67,7,Very happy,Pretty happy,Above average
2000,Male,White,Slghtly conservative,Not str republican,39,33,0,35,5,Pretty happy,Pretty happy,Average
2000,Female,White,Moderate,Not str democrat,62,64,35,0,5,Pretty happy,Very happy,Average
2000,Male,White,Slghtly conservative,Independent,48,48,0,41,3,Very happy,Very happy,Below average
2000,Female,White,Moderate,Strong democrat,0,31,33,0,1,Pretty happy,Not too happy,Far below average
2000,Female,White,Conservative,"Ind,near dem",0,37,35,0,8,Very happy,Not too happy,Far below average
2000,Female,White,Moderate,Independent,31,50,25,53,5,Pretty happy,Not too happy,Below average
